# 0-35 degrees, NaCl crystal, 35keV, 1 mA, Mo anode
# angle/deg,CR /s
20.86,31.8
20.88,36.2
20.9,32.2
20.92,27
20.94,30.2
20.96,29.6
20.98,32.6
21,33.8
21.02,32.4
21.04,30.8
21.06,31.8
21.08,30.4
21.1,29.6
21.12,28.4
21.14,30.2
21.16,33.8
21.18,29.8
21.2,28.6
21.22,31.8
21.24,31.6
21.26,28.6
21.28,29.6
21.3,29.8
21.32,28
21.34,29
21.36,30.4
21.38,33.2
21.4,34.2
21.42,26.4
21.44,31.2
21.46,29.8
21.48,33.2
21.5,29.6
21.52,34
21.54,30.4
21.56,30.6
21.58,32
21.6,31.6
21.62,27.8
21.64,33.2
21.66,34.8
21.68,33.2
21.7,35
21.72,36
21.74,32.4
21.76,39.4
21.78,32
21.8,32.8
21.82,40.2
21.84,44.6
21.86,46.6
21.88,46
21.9,53.2
21.92,59
21.94,66.8
21.96,77.4
21.98,78.2
22,89.6
22.02,102.4
22.04,114.2
22.06,124.2
22.08,132.4
22.1,128.6
22.12,135.6
22.14,155
22.16,143.6
22.18,137.8
22.2,133
22.22,126
22.24,123
22.26,110.6
22.28,102
22.3,87
22.32,77
22.34,68.4
22.36,66.2
22.38,63.4
22.4,50.2
22.42,44
22.44,36.6
22.46,39.4
22.48,28.6
22.5,28
22.52,32.4
22.54,28
22.56,26.8
22.58,26.8
22.6,23
22.62,29
22.64,26.8
22.66,27.6
22.68,23.6
22.7,23.2
22.72,26.8
22.74,29.2
22.76,25.2
22.78,24.2
22.8,28.2
22.82,28.6
22.84,26.2
22.86,22
22.88,26.2
22.9,26.4
22.92,22.6
22.94,25.2
22.96,24.2
22.98,24.4
23,23
23.02,23.8
23.04,27.4
23.06,28
23.08,26.2
23.1,23
23.12,27
23.14,24.6
23.16,24.2
23.18,25.2
23.2,22.6
23.22,21.4
23.24,21.8
23.26,26.8
23.28,27.2
23.3,26.2
23.32,23.2
23.34,23.4
23.36,22.8
23.38,22.2
23.4,26.8
23.42,20.8
23.44,23.2
23.46,26
23.48,20.6
23.5,28.2
23.52,21.6
23.54,21.2
23.56,23.6
23.58,25
23.6,22.4
23.62,26.4
23.64,23
23.66,22.2
23.68,26.2
23.7,22.8
23.72,23.2
23.74,25.4
23.76,25
23.78,22.2
23.8,18.6
23.82,22.8
23.84,17.6
23.86,20.6
23.88,18.2
23.9,20.8
23.92,21.2
23.94,22.4
23.96,21.2
23.98,21.8
24,22
24.02,19.8
24.04,21.2
24.06,20
24.08,20.8
24.1,19.6
24.12,22.8
24.14,20.6
24.16,20.4
24.18,20.2
24.2,20.2
24.22,26.6
24.24,22
24.26,20.4
24.28,20.8
24.3,20.6
24.32,18
24.34,24.6
24.36,20.4
24.38,22.4
24.4,16.6
24.42,20.4
24.44,22.4
24.46,20
24.48,20.6
24.5,21.6
24.52,20.4
24.54,17.4
24.56,16.8
24.58,18.8
24.6,20.2
24.62,21
24.64,23.2
24.66,21.6
24.68,23.4
24.7,16.8
24.72,18
24.74,20.2
24.76,19.8
24.78,20
24.8,19.8
24.82,18.8
24.84,17
24.86,18.4
24.88,17
24.9,21.2
24.92,20.4
24.94,18.4
24.96,19.4
24.98,19.4
25,24.8
25.02,20.4
25.04,16
25.06,17.2
25.08,21.4
25.1,18.4
25.12,20
25.14,19.2
25.16,19.4
25.18,22.2
25.2,18.6
25.22,20.2
25.24,22.4
25.26,19.4
25.28,18.4
25.3,22.2
25.32,20.2
25.34,16.6
25.36,16.6
25.38,16.6
25.4,17.4
25.42,18.8
25.44,18.6
25.46,18
25.48,22.8
25.5,17.4
25.52,18.8
25.54,17.8
25.56,18.2
25.58,16.4
25.6,16.2
25.62,23.8
25.64,20.4
25.66,15
25.68,19.4
25.7,21
25.72,19.6
25.74,18.4
25.76,21
25.78,19.4
25.8,15.2
25.82,18.8
25.84,16.2
25.86,17.2
25.88,16.2
25.9,21.2
25.92,18.6
25.94,19.2
25.96,18.6
25.98,17
26,21.2
26.02,17.8
26.04,18.8
26.06,16.4
26.08,18.6
26.1,18.8
26.12,14
26.14,17.8
26.16,17.4
26.18,19.6
26.2,19.8
26.22,19.2
26.24,18.6
26.26,21.6
26.28,15.4
26.3,21.8
26.32,16.4
26.34,18.4
26.36,24.2
26.38,22.6
26.4,20
26.42,19.8
26.44,21.6
26.46,26.4
26.48,25
26.5,20
26.52,18.6
26.54,25.8
26.56,19
26.58,18
26.6,20.8
26.62,23.6
26.64,24.6
26.66,20.6
26.68,23
26.7,22.4
26.72,19.2
26.74,22.8
26.76,16.2
26.78,17.8
26.8,17.4
26.82,15.2
26.84,18.4
26.86,18
26.88,18.4
26.9,14
26.92,20.8
26.94,20.8
26.96,16.8
26.98,18.6
27,17.8
27.02,19.8
27.04,17.2
27.06,14.8
27.08,19.6
27.1,16.8
27.12,15.2
27.14,16.6
27.16,14.8
27.18,18.2
27.2,17
27.22,17
27.24,18.2
27.26,17.6
27.28,20.2
27.3,16.6
27.32,17.8
27.34,15.2
27.36,15.8
27.38,14.6
27.4,15
27.42,16.2
27.44,13
27.46,17.6
27.48,19.4
27.5,18.8
27.52,18.6
27.54,15.8
27.56,18.8
27.58,16.2
27.6,17.2
27.62,16.8
27.64,14
27.66,15
27.68,17.4
27.7,15.6
27.72,15
27.74,12.2
27.76,16.4
27.78,16.8
27.8,16
27.82,17.2
27.84,17.2
27.86,13.4
27.88,16
27.9,13.2
27.92,16.8
27.94,14.8
27.96,15.8
27.98,14
28,15.2
28.02,14
28.04,18.4
28.06,15.8
28.08,15.6
28.1,16
28.12,15
28.14,16.2
28.16,14.2
28.18,17.6
28.2,14.8
28.22,15.8
28.24,13.2
28.26,17
28.28,12.6
28.3,14.2
28.32,17.8
28.34,17.2
28.36,18.6
28.38,13.8
28.4,13.4
28.42,16.2
28.44,14.4
28.46,15.8
28.48,15.6
28.5,13.6
28.52,16
28.54,13.4
28.56,17
28.58,15
28.6,16
28.62,12.8
28.64,17
28.66,15.4
28.68,12.6
28.7,14.4
28.72,13.6
28.74,12.2
28.76,14.6
28.78,14.2
28.8,14.8
28.82,13.2
28.84,12
28.86,16.4
28.88,14.8
28.9,13.8
28.92,12.6
28.94,17
28.96,15
28.98,15.4
29,15.2
29.02,12.6
29.04,14.6
29.06,14.4
29.08,15.8
29.1,16
29.12,12.6
29.14,15.6
29.16,13.6
29.18,16.4
29.2,15.2
29.22,17
29.24,15.6
29.26,17
29.28,14.6
29.3,14
29.32,16.6
29.34,13
29.36,15.4
29.38,15.4
29.4,17.2
29.42,15.2
29.44,14.4
29.46,15.2
29.48,12.8
29.5,13.2
29.52,15.6
29.54,16.4
29.56,13.8
29.58,14.2
29.6,14.6
29.62,14.8
29.64,14.2
29.66,15.6
29.68,13.4
29.7,16.4
29.72,15.8
29.74,17
29.76,15.6
29.78,17.6
29.8,15.4
29.82,15
29.84,17.8
29.86,14.8
29.88,17.8
29.9,21
29.92,16
29.94,19.4
29.96,22.6
29.98,24
30,26
30.02,26.4
30.04,21.8
30.06,25
30.08,27
30.1,26
30.12,25.8
30.14,29.6
30.16,32
30.18,34.8
30.2,33.2
30.22,29.6
30.24,34.8
30.26,26
30.28,22.6
30.3,27
30.32,23.4
30.34,22
30.36,26
30.38,22.2
30.4,22
30.42,22.6
30.44,18.6
30.46,15.6
30.48,20
30.5,15.6
30.52,14.2
30.54,18.2
30.56,13.8
30.58,13.8
30.6,14.8
30.62,12.4
30.64,16.4
30.66,13.6
30.68,14.8
30.7,14.8
30.72,12.6
30.74,14.6
30.76,14
30.78,11.8
30.8,13.6
30.82,14.6
30.84,13.2
30.86,11.8
30.88,13.2
30.9,15.4
30.92,11.6
30.94,13.6
30.96,13.8
30.98,16.4
31,15.2
31.02,10.2
31.04,13.6
31.06,13.8
31.08,15
31.1,10.8
31.12,13.8
31.14,12.4
31.16,12.4
31.18,13
31.2,14.6
31.22,11
31.24,10.4
31.26,12.6
31.28,10.2
31.3,10.6
31.32,11.4
31.34,11.2
31.36,12.8
31.38,13
31.4,12.8
31.42,13.4
31.44,12.4
31.46,11.4
31.48,13.2
31.5,13.4
31.52,13.2
31.54,14
31.56,11.6
31.58,11
31.6,10.8
31.62,12.2
31.64,11.8
31.66,11.4
31.68,12.6
31.7,16
31.72,12.6
31.74,9.6
31.76,12.2
31.78,13.6
31.8,10.2
31.82,14.6
31.84,13.8
31.86,11.2
31.88,11.8
31.9,19
31.92,10.2
31.94,13.8
31.96,13.2
31.98,9.8
32,9.6
32.02,12.6
32.04,10.6
32.06,12
32.08,14.6
32.1,10
32.12,10.2
32.14,11
32.16,11.6
32.18,10.2
32.2,15
32.22,12.2
32.24,10
32.26,12.2
32.28,9.2
32.3,8.6
32.32,9.8
32.34,13
32.36,12.2
32.38,10.6
32.4,12
32.42,9.6
32.44,11.8
32.46,10
32.48,13.8
32.5,11.8
32.52,10.6
32.54,9.8
32.56,10
32.58,10.6
32.6,10.6
32.62,8.6
32.64,9.8
32.66,15.4
32.68,11.2
32.7,12.8
32.72,11.4
32.74,11.8
32.76,10.2
32.78,11.2
32.8,12.4
32.82,9.6
32.84,10.8
32.86,11
32.88,11.8
32.9,12
32.92,8.4
32.94,10.4
32.96,11.4
32.98,8.4
33,9.2
33.02,13.2
33.04,9.8
33.06,11
33.08,12.8
33.1,8
33.12,8.2
33.14,7.6
33.16,14.4
33.18,13.8
33.2,13.2
33.22,11.2
33.24,10.2
33.26,11.2
33.28,10.8
33.3,9.8
33.32,10.8
33.34,10.8
33.36,10.6
33.38,12.2
33.4,10
33.42,11.2
33.44,12.4
33.46,11.6
33.48,11.6
33.5,8.8
33.52,10.8
33.54,9.4
33.56,11.2
33.58,11.8
33.6,13.6
33.62,10.2
33.64,11.2
33.66,14.6
33.68,8.8
33.7,12.2
33.72,9
33.74,10.8
33.76,12
33.78,11.2
33.8,11.6
33.82,8.2
33.84,11.6
33.86,10
33.88,9.8
33.9,12
33.92,11.8
33.94,10
33.96,13.8
33.98,12
34,12.2
34.02,11
34.04,11.8
34.06,12.8
34.08,9.8
34.1,11.8
34.12,9.4
34.14,11.4
34.16,13.2
34.18,10.8
34.2,8.8
34.22,12
34.24,10
34.26,9.4
34.28,11.2
34.3,7.4
34.32,9.2
34.34,11.4
34.36,9.8
34.38,9.8
34.4,9.2
34.42,8.8
34.44,9.6
34.46,11.2
34.48,7.8
34.5,9.2
34.52,9.2
34.54,10.8
34.56,8.6
34.58,8.6
34.6,9.8
34.62,9.6
34.64,9
34.66,12.8
34.68,10.4
34.7,10
34.72,8.6
34.74,10.8
34.76,9.6
34.78,7.4
34.8,9
34.82,8
34.84,8.2
34.86,8.8
34.88,7.4
34.9,9.8
34.92,6.6
34.94,10.4
34.96,9.8
34.98,9.6
35,10
